entry_date,exit_date,symbol,coin,entry_price,exit_price,mom_pct_at_entry,notional_usdt,pnl_pct,pnl_usdt,reason,hold_days,mfe_pct,mae_pct
2024-06-17,2024-06-18,UNIUSDT,UNI,15430.0,13360.0,3.14,30.0,-13.4154,-4.0246,랭크아웃(Top3이탈),1,0.0,-13.42
2024-06-18,2024-06-19,BNBUSDT,BNB,821000.0,835000.0,-0.85,30.0,1.7052,0.5116,랭크아웃(Top3이탈),1,1.71,-0.0
2024-06-19,2024-06-20,ENSUSDT,ENS,36960.0,35630.0,4.47,30.0,-3.5985,-1.0795,랭크아웃(Top3이탈),1,0.0,-3.6
2024-06-20,2024-06-21,ONDOUSDT,ONDO,1743.0,1726.0,1.87,30.0,-0.9753,-0.2926,랭크아웃(Top3이탈),1,0.0,-0.98
2024-06-21,2024-06-24,UNIUSDT,UNI,14280.0,12690.0,2.66,30.0,-11.1345,-3.3403,랭크아웃(Top3이탈),3,0.0,-11.13
2024-06-17,2024-06-26,RPLUSDT,RPL,37160.0,30930.0,16.09,30.0,-16.7653,-5.0296,랭크아웃(Top3이탈),9,4.06,-16.77
2024-06-24,2024-06-27,AZITUSDT,AZIT,59.34,58.3,-3.67,30.0,-1.7526,-0.5258,랭크아웃(Top3이탈),3,2.97,-1.75
2024-06-27,2024-06-28,RPLUSDT,RPL,29490.0,28190.0,-6.65,30.0,-4.4083,-1.3225,랭크아웃(Top3이탈),1,0.0,-4.41
2024-06-28,2024-06-29,AZITUSDT,AZIT,57.65,56.84,-0.19,30.0,-1.405,-0.4215,랭크아웃(Top3이탈),1,0.0,-1.41
2024-06-29,2024-06-30,RPLUSDT,RPL,27510.0,27740.0,-1.36,30.0,0.8361,0.2508,랭크아웃(Top3이탈),1,0.84,-0.0
2024-06-26,2024-07-03,ENSUSDT,ENS,34200.0,37950.0,0.06,30.0,10.9649,3.2895,트레일(최고30%->11%),7,29.97,-0.0
2024-07-03,2024-07-06,ENSUSDT,ENS,37950.0,34560.0,30.64,30.0,-8.9328,-2.6798,랭크아웃(Top3이탈),3,0.0,-11.67
2024-06-17,2024-07-07,TRXUSDT,TRX,165.0,181.0,7.84,30.0,9.697,2.9091,랭크아웃(Top3이탈),20,12.73,-1.82
2024-07-06,2024-07-09,AKTUSDT,AKT,5085.0,4967.0,7.41,30.0,-2.3206,-0.6962,랭크아웃(Top3이탈),3,0.0,-6.33
2024-07-09,2024-07-10,MAPOUSDT,MAPO,19.14,17.95,30.47,30.0,-6.2173,-1.8652,랭크아웃(Top3이탈),1,0.0,-6.22
2024-07-07,2024-07-11,WIKENUSDT,WIKEN,10.37,11.44,14.8,30.0,10.3182,3.0955,랭크아웃(Top3이탈),4,16.88,-0.0
2024-07-10,2024-07-12,BONKUSDT,BONK,0.0371,0.0322,23.26,30.0,-13.2075,-3.9623,랭크아웃(Top3이탈),2,0.0,-13.21
2024-06-30,2024-07-13,AZITUSDT,AZIT,57.47,67.95,6.82,30.0,18.2356,5.4707,트레일(최고36%->18%),13,35.79,-0.0
2024-07-12,2024-07-13,GRACYUSDT,GRACY,70.75,62.7,19.41,30.0,-11.3781,-3.4134,랭크아웃(Top3이탈),1,0.0,-11.38
2024-07-13,2024-07-14,SPURSUSDT,SPURS,4069.0,3355.0,33.59,30.0,-17.5473,-5.2642,랭크아웃(Top3이탈),1,0.0,-17.55
2024-07-13,2024-07-15,AKTUSDT,AKT,4772.0,4910.0,17.02,30.0,2.8919,0.8676,랭크아웃(Top3이탈),2,2.89,-0.0
2024-07-14,2024-07-15,XLMUSDT,XLM,149.0,145.0,19.2,30.0,-2.6846,-0.8054,랭크아웃(Top3이탈),1,0.0,-2.68
2024-07-11,2024-07-16,MAPOUSDT,MAPO,18.04,19.0,17.68,30.0,5.3215,1.5965,트레일(최고21%->5%),5,21.18,-0.0
2024-07-15,2024-07-16,ENSUSDT,ENS,38040.0,37640.0,14.75,30.0,-1.0515,-0.3155,랭크아웃(Top3이탈),1,0.0,-1.05
2024-07-16,2024-07-18,XRPUSDT,XRP,809.0,806.0,21.65,30.0,-0.3708,-0.1112,랭크아웃(Top3이탈),2,5.07,-0.37
2024-07-18,2024-07-19,WAVESUSDT,WAVES,1603.0,1574.0,24.36,30.0,-1.8091,-0.5427,랭크아웃(Top3이탈),1,0.0,-1.81
2024-07-15,2024-07-20,DUSDT,D,230.0,297.0,30.68,30.0,29.1304,8.7391,트레일(최고49%->29%),5,48.7,-0.0
2024-07-16,2024-07-20,MAPOUSDT,MAPO,19.0,18.7,20.87,30.0,-1.5789,-0.4737,랭크아웃(Top3이탈),4,0.63,-3.0
2024-07-20,2024-07-21,XPLAUSDT,XPLA,181.0,169.0,33.09,30.0,-6.6298,-1.989,랭크아웃(Top3이탈),1,0.0,-6.63
2024-07-19,2024-07-22,BONKUSDT,BONK,0.0406,0.0422,25.7,30.0,3.9409,1.1823,랭크아웃(Top3이탈),3,5.91,-0.0
2024-07-21,2024-07-23,MAPOUSDT,MAPO,18.24,16.83,30.85,30.0,-7.7303,-2.3191,랭크아웃(Top3이탈),2,0.0,-7.73
2024-07-22,2024-07-25,ICPUSDT,ICP,14300.0,13570.0,28.37,30.0,-5.1049,-1.5315,랭크아웃(Top3이탈),3,0.0,-5.1
2024-07-23,2024-07-26,XRPUSDT,XRP,840.0,825.0,25.56,30.0,-1.7857,-0.5357,랭크아웃(Top3이탈),3,4.52,-1.79
2024-07-26,2024-07-27,IDUSDT,ID,706.0,700.0,35.25,30.0,-0.8499,-0.255,랭크아웃(Top3이탈),1,0.0,-0.85
2024-07-25,2024-07-28,COTIUSDT,COTI,160.0,163.0,50.94,30.0,1.875,0.5625,랭크아웃(Top3이탈),3,6.25,-0.0
2024-07-28,2024-07-29,STORJUSDT,STORJ,715.0,653.0,49.27,30.0,-8.6713,-2.6014,랭크아웃(Top3이탈),1,0.0,-8.67
2024-07-29,2024-07-30,COTIUSDT,COTI,160.0,157.0,39.13,30.0,-1.875,-0.5625,랭크아웃(Top3이탈),1,0.0,-1.88
2024-07-20,2024-07-31,DUSDT,D,297.0,236.0,74.71,30.0,-20.5387,-6.1616,스탑-20%,11,0.0,-20.54
2024-07-30,2024-07-31,WAVESUSDT,WAVES,1861.0,1798.0,41.95,30.0,-3.3853,-1.0156,랭크아웃(Top3이탈),1,0.0,-3.39
2024-07-31,2024-08-02,XRPUSDT,XRP,911.0,788.0,43.92,30.0,-13.5016,-4.0505,랭크아웃(Top3이탈),2,0.0,-13.5
2024-07-31,2024-08-04,DUSDT,D,236.0,186.0,42.17,30.0,-21.1864,-6.3559,스탑-20%,4,0.0,-21.19
2024-07-27,2024-08-05,XPLAUSDT,XPLA,171.0,132.0,47.41,30.0,-22.807,-6.8421,스탑-20%,9,12.87,-22.81
2024-08-02,2024-08-05,WAVESUSDT,WAVES,1623.0,1267.0,22.03,30.0,-21.9347,-6.5804,스탑-20%,3,0.0,-21.93
2024-08-05,2024-08-07,STORJUSDT,STORJ,522.0,520.0,-5.78,30.0,-0.3831,-0.1149,랭크아웃(Top3이탈),2,9.96,-0.38
2024-08-05,2024-08-08,XPLAUSDT,XPLA,132.0,150.0,-7.04,30.0,13.6364,4.0909,랭크아웃(Top3이탈),3,13.64,-0.0
2024-08-07,2024-08-08,SOLUSDT,SOL,209800.0,224000.0,-5.28,30.0,6.7684,2.0305,랭크아웃(Top3이탈),1,6.77,-0.0
2024-08-08,2024-08-09,XRPUSDT,XRP,858.0,813.0,8.2,30.0,-5.2448,-1.5734,랭크아웃(Top3이탈),1,0.0,-5.24
2024-08-08,2024-08-10,WAVESUSDT,WAVES,1566.0,1631.0,-0.51,30.0,4.1507,1.2452,랭크아웃(Top3이탈),2,6.0,-0.0
2024-08-10,2024-08-11,XRPUSDT,XRP,840.0,798.0,2.69,30.0,-5.0,-1.5,랭크아웃(Top3이탈),1,0.0,-5.0
