exit_time,coin,lead,entry,exit,pnl_pct,reason,strong
2026-06-29 06:22:55,COOKIE,1.60,14.0100,13.7300,-2.00,손절-1.5%,False
2026-06-29 06:34:23,CELO,1.96,102.0000,103.0000,+0.98,타임아웃15분,False
2026-06-29 06:38:01,ENA,1.75,116.0000,116.0000,+0.00,타임아웃15분,False
2026-06-29 06:40:19,POKT,1.56,12.6800,12.8200,+1.10,트레일(고점+2.2%),False
2026-06-29 07:04:24,CELO,1.94,100.0000,100.0000,+0.00,트레일(고점+1.0%),False
2026-06-29 07:07:25,EDGE,1.53,134.0000,131.0000,-2.24,손절-1.5%,False
2026-06-29 07:28:19,POKT,2.34,12.8900,13.0000,+0.85,타임아웃15분,False
2026-06-29 07:29:15,CELO,2.00,99.9400,100.0000,+0.06,타임아웃15분,False
2026-06-29 07:57:14,EDGE,1.53,132.0000,130.0000,-1.52,손절-1.5%,False
2026-06-29 07:57:37,ELF,1.88,95.2200,95.5800,+0.38,타임아웃15분,False
2026-06-29 08:10:23,DOGE,1.83,110.0000,110.0000,+0.00,타임아웃15분,False
2026-06-29 08:12:15,EDGE,3.04,130.0000,135.0000,+3.85,타임아웃15분,True
2026-06-29 08:43:30,POKT,2.13,13.1500,13.0700,-0.61,트레일(고점+1.1%),False
2026-06-29 08:56:45,HUNT,2.87,140.0000,141.0000,+0.71,트레일(고점+2.9%),False
2026-06-29 09:00:24,PROS,2.56,692.0000,710.0000,+2.60,트레일(고점+3.9%),False
2026-06-29 09:01:23,POWR,1.68,78.6500,81.2700,+3.33,트레일(고점+4.6%),False
2026-06-29 09:04:40,POWR,2.58,81.2200,79.9700,-1.54,손절-1.5%,False
2026-06-29 09:06:00,QKC,1.96,3.0580,3.1030,+1.47,트레일(고점+2.6%),False
2026-06-29 09:06:10,QKC,2.27,3.1030,3.1160,+0.42,트레일(고점+1.7%),False
2026-06-29 09:06:13,RE,2.50,874.0000,875.0000,+0.11,트레일(고점+1.3%),False
2026-06-29 09:07:18,ID,1.82,51.3800,53.2800,+3.70,트레일(고점+6.3%),False
2026-06-29 09:08:11,QKC,1.89,3.1160,3.1510,+1.12,트레일(고점+2.5%),False
2026-06-29 09:09:38,ELF,2.39,99.9900,100.0000,+0.01,트레일(고점+1.0%),False
2026-06-29 09:11:02,ELF,1.92,102.0000,103.0000,+0.98,트레일(고점+2.9%),False
2026-06-29 09:12:25,ELF,1.96,103.0000,101.0000,-1.94,손절-1.5%,False
2026-06-29 09:12:53,ELF,2.91,103.0000,103.0000,+0.00,트레일(고점+1.9%),False
