entry_time,exit_time,symbol,margin_usdt,csv_pnl_usdt,realized_pnl,funding_usdt,commission_usdt,net_pnl_usdt,net_pnl_pct_margin,diff_vs_csv,reason,src
2026-07-22T17:02:24.659351+09:00,2026-07-24T18:47:21.103620+09:00,ERAUSDT,50.0,18.47,18.5633,-9.267,-0.091,9.205,18.41,-9.265,"48h만기(수동청산,watchdog다운중지연)[선물]",margin_short_trades.csv
2026-07-25T01:23:59.971338+09:00,2026-07-25T12:42:50.526331+09:00,DEXEUSDT,50.0,-42.3,-42.178,-0.6019,-0.1211,-42.901,-85.8,-0.601,"스탑+40%(수동청산,mshort일시행상태로지연됨)[선물]",margin_short_trades.csv
2026-07-26T08:50:59.257357+09:00,2026-07-28T08:52:27.675421+09:00,EULUSDT,50.0,15.27,15.6572,-7.9463,-0.0925,7.618,15.24,-7.652,48h만기[선물],margin_short_trades.csv
2026-07-28T08:52:41.596658+09:00,2026-07-29T18:28:46.103069+09:00,COTIUSDT,20.0,-16.32,-16.0816,-2.3342,-0.0678,-18.484,-92.42,-2.164,스탑+40%[선물],margin_short_trades.csv
2026-07-29T06:24:14.224714+09:00,2026-07-31T06:24:07.358098+09:00,ZILUSDT,20.0,5.04,5.1359,-1.6609,-0.0376,3.437,17.19,-1.603,48h만기[선물],margin_short_trades.csv
2026-07-29T18:29:15.519647+09:00,2026-07-31T18:32:33.205356+09:00,COTIUSDT,20.0,-0.16,0.1545,-1.0521,-0.0197,-0.917,-4.59,-0.757,48h만기[선물],margin_short_trades.csv
2026-07-30T16:05:31.568231+09:00,2026-08-01T16:06:06.916445+09:00,EPICUSDT,20.0,7.12,7.1379,0.0099,-0.0364,7.111,35.56,-0.009,48h만기[선물],margin_short_trades.csv
2026-07-30T21:13:11.171317+09:00,2026-08-01T21:17:56.256635+09:00,ESPUSDT,20.0,8.25,8.1683,-0.2574,-0.0357,7.875,39.38,-0.375,48h만기[선물],margin_short_trades.csv
2026-07-31T19:32:48.572992+09:00,2026-08-02T19:33:53.087517+09:00,MMTUSDT,20.0,23.11,23.0375,-0.3683,-0.0283,22.641,113.2,-0.469,48h만기[선물],margin_short_trades.csv
2026-08-03T22:03:01.890955+09:00,2026-08-04T07:53:49.407883+09:00,VICUSDT,25.0,-21.45,-20.7901,0.0015,-0.0606,-20.849,-83.4,0.601,스탑+40%[선물],margin_short_trades.csv
2026-08-03T09:03:21.517914+09:00,2026-08-05T07:07:55.849187+09:00,BICOUSDT,25.0,-20.86,-21.2621,-0.1335,-0.0609,-21.457,-85.83,-0.597,스탑+40%[선물],margin_short_trades.csv
2026-08-03T23:29:38.981251+09:00,2026-08-07T00:54:32.111707+09:00,HFTUSDT,25.0,-110.63,-113.4633,1.0985,-0.1069,-112.472,-449.89,-1.842,스탑+40%[선물],margin_short_trades.csv
2026-08-04T10:26:06.766044+09:00,2026-08-07T00:54:32.621559+09:00,VICUSDT,25.0,21.84,22.5667,0.1796,-0.0394,22.707,90.83,0.867,48h만기[선물],margin_short_trades.csv
2026-08-04T20:08:42.831991+09:00,2026-08-07T00:54:33.177501+09:00,BANKUSDT,25.0,7.92,8.4034,-0.3339,-0.0463,8.023,32.09,0.103,48h만기[선물],margin_short_trades.csv
2026-08-04T22:06:01.880427+09:00,2026-08-07T00:54:33.691018+09:00,HOMEUSDT,25.0,6.65,7.0358,-2.4521,-0.0468,4.537,18.15,-2.113,48h만기[선물],margin_short_trades.csv
2026-08-05T07:08:21.569626+09:00,2026-08-07T00:54:34.217586+09:00,HEIUSDT,25.0,-26.55,-26.5135,-0.1476,-0.0632,-26.724,-106.9,-0.174,스탑+40%[선물],margin_short_trades.csv
2026-08-08T16:58:33.699436+09:00,2026-08-08T23:26:02.580822+09:00,TUTUSDT,25.0,-20.89,-20.7386,0.0021,-0.0604,-20.797,-83.19,0.093,서버측스탑+40%(다운중자동실행)[선물],margin_short_trades.csv
2026-08-09T06:47:53.416204+09:00,2026-08-09T10:29:43.738270+09:00,TUTUSDT,25.0,-20.42,-22.2779,0.0031,-0.061,-22.336,-89.34,-1.916,서버측스탑+40%(다운중자동실행)[선물],margin_short_trades.csv
2026-08-07T22:22:16.820281+09:00,2026-08-09T11:23:34.751068+09:00,TSTUSDT,25.0,-20.04,-19.9508,-0.146,-0.0598,-20.157,-80.63,-0.117,서버측스탑+40%(다운중자동실행)[선물],margin_short_trades.csv
2026-08-08T23:34:11.073251+09:00,2026-08-10T08:39:18.677959+09:00,1000CATUSDT,25.0,2.72,2.4113,-0.1381,-0.0487,2.225,8.9,-0.495,트레일링(최고16%→5%)[선물],margin_short_trades.csv
2026-08-09T12:10:23.490445+09:00,2026-08-10T08:39:19.991675+09:00,TSTUSDT,25.0,-3.68,-4.7296,-0.0188,-0.0513,-4.8,-19.2,-1.12,트레일링(최고25%→-7%)[선물],margin_short_trades.csv
2026-08-10T08:44:25.095468+09:00,2026-08-10T17:06:33.300601+09:00,TSTUSDT,25.0,4.49,4.8561,0.0178,-0.0477,4.826,19.31,0.336,트레일링(최고20%→9%)[선물],margin_short_trades.csv
2026-08-09T00:35:25.411863+09:00,2026-08-11T00:35:51.412407+09:00,ACEUSDT,25.0,6.2,5.8664,-0.3783,-0.0467,5.441,21.77,-0.759,48h만기[선물],margin_short_trades.csv
2026-08-10T21:10:21.306547+09:00,2026-08-11T03:53:54.797374+09:00,TSTUSDT,25.0,1.87,1.8533,0.0085,-0.049,1.813,7.25,-0.057,트레일링(최고15%→4%)[선물],margin_short_trades.csv
2026-08-09T05:46:15.959538+09:00,2026-08-11T05:46:52.432648+09:00,COOKIEUSDT,25.0,2.98,2.9846,-0.0956,-0.0485,2.84,11.36,-0.14,48h만기[선물],margin_short_trades.csv
2026-08-09T12:25:38.685475+09:00,2026-08-11T12:25:39.234412+09:00,IOTXUSDT,25.0,12.9,13.0428,-0.5576,-0.0436,12.442,49.77,-0.458,48h만기[선물],margin_short_trades.csv
2026-08-10T13:31:13.822287+09:00,2026-08-12T04:28:20.280970+09:00,BMTUSDT,25.0,21.65,21.7131,-0.019,-0.0391,21.655,86.62,0.005,트레일링(최고54%→43%)[선물],margin_short_trades.csv
2026-08-12T15:20:52.075208+09:00,2026-08-12T20:39:32.064597+09:00,PROMUSDT,30.0,-24.7,-20.7478,-1.8322,-0.0687,-22.649,-75.5,2.051,스탑+40%[선물],margin_short_trades.csv
2026-08-13T03:09:23.134459+09:00,2026-08-13T20:32:42.974716+09:00,COTIUSDT,30.0,4.54,9.0067,-3.1042,-0.0556,5.847,19.49,1.307,트레일링(최고18%→8%)[선물],margin_short_trades.csv
2026-08-11T20:37:54.615306+09:00,2026-08-13T20:38:13.641835+09:00,MITOUSDT,25.0,11.93,12.2278,0.0212,-0.0442,12.205,48.82,0.275,48h만기[선물],margin_short_trades.csv
2026-08-12T17:20:31.093157+09:00,2026-08-13T23:49:45.178756+09:00,STORJUSDT,30.0,10.17,10.1967,-0.8768,-0.0545,9.265,30.88,-0.905,트레일링(최고27%→17%)[선물],margin_short_trades.csv
2026-08-12T20:31:12.651409+09:00,2026-08-14T20:27:26.976277+09:00,RAREUSDT,30.0,17.88,18.0613,-0.079,-0.0511,17.931,59.77,0.051,48h만기[선물],margin_short_trades.csv
2026-08-14T22:30:37.851913+09:00,2026-08-15T07:10:29.996021+09:00,HEIUSDT,30.0,4.0,5.6898,-0.1666,-0.0571,5.466,18.22,1.466,트레일링(최고18%→7%)[선물],margin_short_trades.csv
2026-08-15T02:34:23.361606+09:00,2026-08-15T13:10:47.750028+09:00,ACEUSDT,30.0,13.66,13.5087,0.0029,-0.0531,13.458,44.86,-0.202,트레일링(최고33%→23%)[선물],margin_short_trades.csv
2026-08-15T17:56:26.163473+09:00,2026-08-15T23:31:41.414356+09:00,HEMIUSDT,30.0,4.67,4.91,0.0026,-0.0577,4.855,16.18,0.185,트레일링(최고18%→8%)[선물],margin_short_trades.csv
2026-08-15T02:59:28.675687+09:00,2026-08-16T10:38:43.058248+09:00,DOLOUSDT,30.0,13.42,13.1977,-0.0258,-0.0531,13.119,43.73,-0.301,트레일링(최고32%→22%)[선물],margin_short_trades.csv
2026-08-16T00:44:41.937914+09:00,2026-08-16T14:18:06.625829+09:00,COWUSDT,30.0,4.63,7.128,-2.3384,-0.0563,4.733,15.78,0.103,트레일링(최고18%→8%)[선물],margin_short_trades.csv
2026-08-15T16:48:33.629878+09:00,2026-08-16T15:11:35.979035+09:00,ACEUSDT,30.0,25.11,26.0377,-2.5098,-0.0467,23.481,78.27,-1.629,트레일링(최고52%→42%)[선물],margin_short_trades.csv
2026-08-15T13:20:13.283546+09:00,2026-08-16T23:02:39.749955+09:00,ROBOUSDT,30.0,15.25,16.2471,-0.0321,-0.0528,16.162,53.87,0.912,트레일링(최고36%→25%)[선물],margin_short_trades.csv
2026-08-16T16:35:21.568812+09:00,2026-08-17T12:21:43.173170+09:00,HEMIUSDT,30.0,14.47,14.8525,0.003,-0.053,14.803,49.34,0.333,트레일링(최고34%→24%)[선물],margin_short_trades.csv
2026-08-17T12:42:44.320149+09:00,2026-08-17T17:55:54.272136+09:00,ACEUSDT,30.0,3.82,5.556,-0.5553,-0.0571,4.944,16.48,1.124,트레일링(최고17%→6%)[선물],margin_short_trades.csv
2026-08-15T23:21:16.889058+09:00,2026-08-17T23:21:21.797492+09:00,WALUSDT,30.0,12.64,12.6055,-2.8462,-0.0536,9.706,32.35,-2.934,48h만기[선물],margin_short_trades.csv
2026-08-17T13:42:55.299200+09:00,2026-08-18T00:17:39.970837+09:00,TUTUSDT,30.0,5.32,5.2071,0.0011,-0.0572,5.151,17.17,-0.169,트레일링(최고19%→9%)[선물],margin_short_trades.csv
