entry_time,exit_time,symbol,pump_2h,vol_mult,entry_price,exit_price,margin_usdt,pnl_pct,pnl_usdt,live,reason,btc_entry,btc_exit,mfe_pct,mae_pct,listing_age_days,qvol_24h
2026-08-26T03:05:50.056899+09:00,2026-08-26T11:32:00.371541+09:00,BMTUSDT,21.7,0.0,0.01794,0.025130000000000003,30.0,-40.08,-24.14,True,외부청산(실체결가)[선물],79228.01,79153.65,-0.78,38.29,526,3015249
2026-08-26T01:03:02.923047+09:00,2026-08-26T18:02:19.344562+09:00,FFUSDT,15.4,0.0,0.10407777708463299,0.0941,50.0,9.59,9.59,True,트레일링(최고21%→10%)[마진],79461.62,78798.8,20.86,0.24,331,5419553
2026-08-26T00:05:41.179197+09:00,2026-08-26T19:42:28.287320+09:00,TLMUSDT,21.9,0.0,0.001669,0.001471,30.0,11.86,7.33,True,외부청산(실체결가)[선물],79222.01,78713.29,12.46,5.03,1000,3044228
2026-08-25T22:10:22.873252+09:00,2026-08-26T20:12:49.218533+09:00,ONTUSDT,15.0,0.0,0.05488,0.05115,30.0,6.8,4.23,True,외부청산(실체결가)[선물],78842.23,78704.0,7.38,6.23,1000,4195646
2026-08-26T00:35:26.358183+09:00,2026-08-26T20:21:28.353461+09:00,ZROUSDT,15.6,0.0,1.248,1.178,50.0,5.61,5.61,True,외부청산(현재가추정)[마진],79342.0,78680.0,8.17,7.37,797,19606934
2026-08-26T22:09:57.586488+09:00,2026-08-26T23:13:32.103159+09:00,ONGUSDT,16.0,0.0,0.11678,0.16423,30.0,-40.63,-24.38,True,스탑+40%[선물],78104.1,78527.4,9.37,40.63,1000,22764139
2026-08-26T17:43:25.130356+09:00,2026-08-27T06:58:20.282305+09:00,BMTUSDT,16.1,0.0,0.02575,0.02146,30.0,16.66,9.93,True,외부청산(실체결가)[선물],78949.67,78766.91,17.24,6.29,526,26949949
2026-08-27T04:24:52.456834+09:00,2026-08-27T10:15:14.458637+09:00,HEIUSDT,16.0,0.0,0.15632,0.13901241532047942,30.0,11.07,7.19,True,외부청산(실체결가)[선물],78349.99,78637.21,11.59,7.6,560,6503076
2026-08-26T20:45:53.068733+09:00,2026-08-27T13:02:36.847823+09:00,BICOUSDT,15.8,0.0,0.02246,0.03145,30.0,-40.03,-24.02,True,스탑+40%[선물],78461.41,78827.99,0.27,40.03,1000,6148332
2026-08-27T09:27:19.764007+09:00,2026-08-27T13:14:49.691224+09:00,GASUSDT,18.5,0.0,1.511,1.3359999999999999,30.0,11.58,6.79,True,외부청산(실체결가)[선물],78826.41,78862.46,12.31,4.37,1000,3010149
2026-08-27T13:03:15.000000+09:00,2026-08-27T13:25:48.000000+09:00,BICOUSDT,,,0.0313,0.02852,30.07,17.76,5.34038,True,수동직접매매(전량)[선물],,,,,,
2026-08-27T15:30:03.481551+09:00,2026-08-27T21:35:31.039590+09:00,PROMUSDT,15.2,0.0,4.878,4.566000000000001,30.0,6.4,4.13,True,외부청산(실체결가)[선물],78645.62,79362.0,10.31,2.36,1000,10847790
2026-08-27T13:27:49.500513+09:00,2026-08-27T21:37:33.512976+09:00,BICOUSDT,29.7,0.0,0.02857,0.02695,30.0,5.67,3.67,True,외부청산(실체결가)[선물],78820.0,79274.0,9.8,9.28,1000,24773591
2026-08-28T00:13:10.886628+09:00,2026-08-28T03:15:05.001053+09:00,CHIPUSDT,16.1,0.0,0.04212,0.03977,30.0,5.58,3.32,True,외부청산(실체결가)[선물],80420.16,80076.75,6.84,3.56,129,6877403
2026-08-27T02:53:31.597743+09:00,2026-08-28T06:53:21.642531+09:00,TUTUSDT,15.1,0.0,0.05339,0.049498780053428316,30.0,7.29,4.28,True,외부청산(실체결가)[선물],78438.98,80072.12,7.72,20.28,518,30047572
2026-08-27T03:59:23.268531+09:00,2026-08-28T06:55:28.434557+09:00,SUSDT,15.0,0.0,0.03187,0.03043,50.0,4.52,4.52,True,외부청산(현재가추정)[마진],78470.67,80118.59,5.49,5.11,588,3396102
2026-08-27T12:36:42.753655+09:00,2026-08-28T08:10:13.536078+09:00,RUNEUSDT,20.2,0.0,0.5572,0.5101,30.0,8.45,5.03,True,외부청산(실체결가)[선물],78862.89,80210.04,9.19,12.89,1000,3010626
2026-08-26T14:51:14.698226+09:00,2026-08-28T14:51:07.350220+09:00,EDENUSDT,16.7,0.0,0.05815,0.067,30.0,-15.22,-9.13,True,48h만기[선물],79042.01,79826.0,6.09,28.46,331,3210308
2026-08-27T20:33:43.461213+09:00,2026-08-28T15:59:39.104272+09:00,HEMIUSDT,17.1,0.0,0.00875,0.01225,30.0,-40.0,-24.0,True,서버측스탑+40%(다운중자동실행)[선물],79514.0,79908.95,4.23,40.0,339,8143409
2026-08-26T23:32:46.013925+09:00,2026-08-28T16:21:39.026105+09:00,ONTUSDT,15.4,0.0,0.05868,0.05492,30.0,6.41,3.76,True,외부청산(실체결가)[선물],78270.0,79692.79,6.53,25.63,1000,6125814
2026-08-28T15:59:43.517515+09:00,2026-08-28T18:12:19.735091+09:00,HEMIUSDT,16.8,0.0,0.012273,0.01162,30.0,5.32,3.19,True,트레일링(최고17%→5%)[선물],79908.95,79431.36,16.65,0.79,339,23498074
2026-08-27T13:46:13.532638+09:00,2026-08-29T06:05:24.882816+09:00,MOVRUSDT,27.5,0.0,0.9079,0.7777,30.0,14.34,6.95,True,외부청산(실체결가)[선물],78787.75,77357.66,17.83,25.23,1000,7722532
2026-08-28T10:33:43.623830+09:00,2026-08-29T06:11:48.631851+09:00,TRUMPUSDT,15.5,0.0,2.9230000000000005,2.631,50.0,9.99,9.99,True,외부청산(현재가추정)[마진],81344.0,77355.58,13.62,-0.68,586,80858984
2026-08-27T09:04:27.463839+09:00,2026-08-29T09:04:50.186976+09:00,VETUSDT,15.9,0.0,0.006724686800608664,0.006904,50.0,-2.67,-2.67,True,48h만기[마진],78914.01,77814.01,5.2,13.19,1000,3007127
2026-08-28T05:47:32.121287+09:00,2026-08-29T11:19:16.365458+09:00,BMTUSDT,15.5,0.0,0.02459,0.021842528688524588,30.0,11.17,6.8,True,외부청산(실체결가)[선물],80031.99,77680.5,12.24,22.81,526,16807347
2026-08-28T19:18:32.663372+09:00,2026-08-29T11:23:23.383248+09:00,MANTRAUSDT,18.1,0.0,0.004839,0.004342,30.0,10.27,6.26,True,외부청산(실체결가)[선물],79184.38,77622.11,11.97,9.53,178,3909751
2026-08-28T23:41:13.304445+09:00,2026-08-29T13:44:56.504055+09:00,CHIPUSDT,15.2,0.0,0.0461,0.04202,30.0,8.85,5.22,True,외부청산(실체결가)[선물],79523.43,77620.49,14.71,2.62,129,14888959
2026-08-28T15:45:24.093183+09:00,2026-08-29T14:04:47.734298+09:00,EDENUSDT,15.1,0.0,0.06892,0.06423,30.0,6.8,4.23,True,외부청산(실체결가)[선물],79865.83,77659.73,6.89,10.37,331,4498920
