exit_time,coin,entry,exit,pnl_pct,reason,held_h,chg24h_at_entry,rsi_at_entry,vol_ratio_at_entry,ma20_gap_pct,btc_chg24_at_entry
2026-07-02 00:11:15,FLUID,1593.0000,1483.0000,-6.91,손절-6.0%,1.4,+26.2,48.3,0.04,-0.78,+0.7
2026-07-02 02:41:26,TOWNS,2.8660,2.9300,+2.23,타임아웃4H,4.0,+6.0,59.6,0.29,0.89,+0.6
2026-07-02 02:51:27,SFP,349.0000,335.0000,-4.01,타임아웃4H,4.0,+11.9,74.2,0.05,3.45,+1.0
2026-07-02 04:11:33,G,5.2470,5.1420,-2.00,타임아웃4H,4.0,+5.4,80.4,0.29,1.17,+1.9
2026-07-02 04:46:36,THE,77.5000,70.7900,-8.66,손절-6.0%,2.1,+2.8,31.1,0.18,-1.72,+2.4
2026-07-02 06:51:45,RE,930.0000,908.0000,-2.37,타임아웃4H,4.0,-7.4,16.7,1.47,-1.86,+2.5
2026-07-02 08:11:54,PENGU,9.4180,9.3660,-0.55,타임아웃4H,4.0,+2.0,53.7,1.41,0.01,+2.4
2026-07-02 08:46:59,VIRTUAL,827.0000,832.0000,+0.60,타임아웃4H,4.0,+2.5,30.0,0.0,-0.58,+2.0
2026-07-02 10:52:11,SHIB,0.0066,0.0065,-1.52,타임아웃4H,4.0,+3.1,50.0,11.09,0.23,+3.2
2026-07-02 11:22:16,HFT,14.6600,13.6200,-7.09,손절-6.0%,2.6,+23.9,48.2,0.0,0.08,+2.3
2026-07-02 12:12:22,EDGE,116.0000,121.0000,+4.31,타임아웃4H,4.0,+3.6,50.0,1.81,-0.04,+2.5
2026-07-02 13:52:33,SLX,757.0000,702.0000,-7.27,손절-6.0%,3.0,+7.8,48.3,0.34,1.3,+1.6
2026-07-02 15:22:43,BASED,196.0000,198.0000,+1.02,타임아웃4H,4.0,+24.1,58.3,0.71,0.0,+1.6
2026-07-02 16:12:50,BCH,326500.0000,324600.0000,-0.58,타임아웃4H,4.0,+4.8,43.2,0.12,-0.11,+1.9
2026-07-02 17:53:01,DOGE,111.0000,111.0000,+0.00,타임아웃4H,4.0,+0.9,44.4,0.07,0.09,+2.0
2026-07-02 19:23:10,POLA,3.9560,3.9310,-0.63,타임아웃4H,4.0,-4.0,62.7,0.56,3.68,+2.5
2026-07-02 20:13:17,XRP,1602.0000,1637.0000,+2.18,타임아웃4H,4.0,+0.8,40.0,0.26,-0.15,+2.1
2026-07-02 21:53:27,HEMI,6.9500,7.2510,+4.33,타임아웃4H,4.0,+8.9,66.8,0.73,0.08,+2.3
2026-07-02 23:23:36,STABLE,52.3500,52.0200,-0.63,타임아웃4H,4.0,-8.1,42.2,0.2,-0.5,+3.2
