entry_time,exit_time,symbol,kind,entry_price,exit_price,qv_ratio,r12_pct,price_pnl_pct,funding_pct,fee_pct,net_pnl_pct,hold_h,reason,btc_entry,btc_exit,signal_delay_s
2026-08-26T10:37:57.825228+09:00,2026-08-27T10:36:42.264251+09:00,PROMUSDT,signal,4.468,4.473,0.9294,7.044,0.112,-0.0508,0.12,0.043,24.03,24h만기,78863.2,78765.7,0
2026-08-26T10:37:58.293152+09:00,2026-08-27T10:36:42.774991+09:00,WALUSDT,random,0.02312,0.0235,,,1.644,0.03,0.12,1.494,24.03,24h만기,78863.2,78765.7,0
2026-08-26T10:55:20.501125+09:00,2026-08-27T10:59:02.539252+09:00,FARTCOINUSDT,signal,0.1978,0.2163,0.2447,6.173,9.353,0.03,0.12,9.203,24.09,24h만기,78751.9,78875.4,0
2026-08-26T10:55:20.910058+09:00,2026-08-27T10:59:03.037145+09:00,APTUSDT,random,0.5666,0.5686,,,0.353,-0.0001,0.12,0.233,24.09,24h만기,78751.9,78875.4,0
2026-08-26T12:30:53.076760+09:00,2026-08-27T12:31:52.409951+09:00,PORTALUSDT,signal,0.01609,0.01567,0.5329,9.233,-2.61,-0.2201,0.12,-2.51,24.07,24h만기,79049.9,78823.3,0
2026-08-26T12:30:53.504670+09:00,2026-08-27T12:31:52.870637+09:00,BANDUSDT,random,0.1773,0.1745,,,-1.579,0.03,0.12,-1.729,24.07,24h만기,79049.9,78823.3,0
2026-08-26T12:50:08.554713+09:00,2026-08-27T12:50:32.656999+09:00,SKYAIUSDT,signal,0.05364,0.05021,0.1256,5.053,-6.394,0.03,0.12,-6.544,24.06,24h만기,78959.5,78818.6,0
2026-08-26T12:50:09.043944+09:00,2026-08-27T12:50:33.119204+09:00,NIGHTUSDT,random,0.01955,0.01947,,,-0.409,0.03,0.12,-0.559,24.06,24h만기,78959.5,78818.6,0
2026-08-26T13:15:08.187634+09:00,2026-08-27T13:19:29.586642+09:00,ACUUSDT,signal,0.12975,0.13058,0.0496,6.231,0.64,0.03,0.12,0.49,24.08,24h만기,79004.8,78847.3,0
2026-08-26T13:15:08.623331+09:00,2026-08-27T13:19:30.065104+09:00,DOTUSDT,random,0.8542,0.8721,,,2.096,0.0182,0.12,1.957,24.08,24h만기,79004.8,78847.3,0
2026-08-26T13:25:47.966417+09:00,2026-08-27T13:27:04.436729+09:00,EULUSDT,signal,1.5034,1.4152,0.6269,8.69,-5.867,0.03,0.12,-6.017,24.05,24h만기,79035.4,78788.0,0
2026-08-26T13:25:48.416831+09:00,2026-08-27T13:27:05.018408+09:00,GUAUSDT,random,0.03932,0.04015,,,2.111,0.0432,0.12,1.948,24.05,24h만기,79035.4,78788.0,0
2026-08-26T13:37:06.949043+09:00,2026-08-27T13:34:19.223808+09:00,TACUSDT,signal,0.002672,0.005029,0.0969,7.223,88.211,0.1135,0.12,87.978,24.01,24h만기,78921.0,78695.1,0
