exit_time,coin,entry,exit,pnl_pct,reason,held_h,chg24h_at_entry,rsi_at_entry,vol_ratio_at_entry
2026-07-02 04:41:18,PYTH,58.7600,58.7100,-0.09,타임아웃6H,6.0,-1.2,55.0,0.13
2026-07-02 04:51:19,ADA,234.0000,232.0000,-0.85,타임아웃6H,6.0,+6.8,60.0,0.0
2026-07-02 05:01:19,PENGU,9.4250,9.3250,-1.06,타임아웃6H,6.0,+2.6,68.7,2.05
2026-07-02 10:41:32,HBAR,110.0000,110.0000,+0.00,타임아웃6H,6.0,+3.8,50.0,0.09
2026-07-02 10:51:35,EDGE,112.0000,121.0000,+8.04,타임아웃6H,6.0,-1.8,45.5,0.03
2026-07-02 11:01:38,SUI,1080.0000,1097.0000,+1.57,타임아웃6H,6.0,+1.9,50.0,0.37
2026-07-02 16:41:53,XLM,298.0000,299.0000,+0.34,타임아웃6H,6.0,-0.7,75.0,0.61
2026-07-02 16:51:56,VVV,19520.0000,19700.0000,+0.92,타임아웃6H,6.0,+4.4,59.2,0.01
2026-07-02 17:01:59,ADA,235.0000,234.0000,-0.43,타임아웃6H,6.0,+5.9,80.0,0.0
2026-07-02 22:42:13,BILL,63.2400,64.2500,+1.60,타임아웃6H,6.0,-2.3,40.0,0.03
2026-07-02 22:52:16,BIO,44.6700,45.1600,+1.10,타임아웃6H,6.0,-4.5,70.7,6.61
2026-07-02 23:02:19,POLA,3.9610,3.9220,-0.98,타임아웃6H,6.0,-4.8,66.4,0.28
2026-07-03 07:29:41,MANTA,93.0400,93.3400,+0.32,타임아웃6H,8.8,+1.0,60.8,0.45
2026-07-03 07:29:42,ETH,2583000.0000,2561000.0000,-0.85,타임아웃6H,8.6,+6.4,87.1,0.25
2026-07-03 07:29:44,HBAR,113.0000,108.0000,-4.42,타임아웃6H,8.5,+5.6,55.6,0.18
2026-07-03 08:29:51,GNO,395600.0000,401400.0000,+1.47,트레일(고점+17.8%),0.7,+15.3,51.3,0.63
2026-07-03 08:49:54,TAIKO,245.0000,232.0000,-5.31,손절-5.0%,1.2,-22.0,37.5,0.49
2026-07-03 13:34:02,XRP,1630.0000,1647.0000,+1.04,타임아웃6H,6.1,+0.7,22.2,1.2
2026-07-03 14:34:04,INJ,6925.0000,7060.0000,+1.95,타임아웃6H,6.1,+1.1,54.8,0.0
2026-07-03 14:54:05,JTO,1110.0000,1113.0000,+0.27,타임아웃6H,6.1,-4.0,27.0,0.25
2026-07-03 19:34:15,BCH,332800.0000,340800.0000,+2.40,타임아웃6H,6.0,+1.2,44.2,0.58
2026-07-03 20:34:18,DYDX,193.0000,197.0000,+2.07,타임아웃6H,6.0,-5.4,63.6,0.68
2026-07-03 20:54:18,HAEDAL,25.0500,25.7600,+2.83,타임아웃6H,6.0,-1.3,57.4,0.06
2026-07-04 01:34:29,BASED,135.0000,132.0000,-2.22,타임아웃6H,6.0,-4.9,44.4,0.06
2026-07-04 02:34:31,BIRB,115.0000,111.0000,-3.48,타임아웃6H,6.0,-13.5,100.0,1.32
2026-07-04 02:54:32,SHIB,0.0066,0.0066,+0.00,타임아웃6H,6.0,+1.5,60.0,0.06
2026-07-04 06:34:40,GTC,113.0000,123.0000,+8.85,트레일(고점+15.0%),3.7,+3.7,60.0,0.6
2026-07-04 07:34:42,KAIA,53.4500,54.4400,+1.85,타임아웃6H,6.0,-0.4,35.6,0.12
2026-07-04 08:34:45,MPLX,54.0500,56.1500,+3.89,트레일(고점+10.0%),6.0,-0.8,46.7,0.25
2026-07-04 09:04:46,TAIKO,215.0000,204.0000,-5.12,손절-5.0%,1.5,-13.0,55.0,0.63
2026-07-04 11:24:51,NEX,0.0042,0.0039,-7.14,손절-5.0%,2.8,+2.4,57.1,2.64
2026-07-04 12:34:54,HAEDAL,26.0900,25.2600,-3.18,타임아웃6H,6.0,+9.2,55.0,0.12
2026-07-04 15:04:59,DOGE,116.0000,117.0000,+0.86,타임아웃6H,6.0,+2.6,44.4,0.41
2026-07-04 17:25:05,BLEND,102.0000,102.0000,+0.00,타임아웃6H,6.0,-15.7,46.2,0.21
2026-07-04 18:35:08,GTC,117.0000,113.0000,-3.42,타임아웃6H,6.0,+6.4,50.0,0.04
2026-07-04 21:05:13,MEGA,81.2300,82.7500,+1.87,타임아웃6H,6.0,+10.7,51.5,0.47
2026-07-04 23:25:17,ARX,323.0000,319.0000,-1.24,타임아웃6H,6.0,+1.9,47.1,0.01
2026-07-05 00:35:20,XLM,312.0000,315.0000,+0.96,타임아웃6H,6.0,+3.0,54.5,6.02
2026-07-05 03:06:11,BTC,94397000.0000,95259000.0000,+0.91,타임아웃6H,6.0,+0.8,53.5,0.0
2026-07-05 05:26:16,JTO,1073.0000,1093.0000,+1.86,타임아웃6H,6.0,-6.5,40.5,2.51
2026-07-05 06:36:19,SHIB,0.0068,0.0068,+0.00,타임아웃6H,6.0,+3.0,60.0,0.0
2026-07-05 07:36:21,OGN,29.0500,27.5700,-5.09,손절-5.0%,4.5,+24.0,47.1,0.02
2026-07-05 11:26:30,SUI,1155.0000,1116.0000,-3.38,타임아웃6H,6.0,-1.0,20.0,0.06
2026-07-05 12:36:33,ELSA,70.9000,72.6000,+2.40,타임아웃6H,6.0,+3.7,33.6,0.02
2026-07-05 13:26:35,MIRA,84.1000,79.7700,-5.15,손절-5.0%,0.8,+4.9,48.6,0.11
2026-07-05 13:36:35,LA,96.4200,93.4400,-3.09,타임아웃6H,6.0,-2.4,18.0,0.03
