entry_time,exit_time,symbol,rsi,vol_mult,chg24,entry_price,exit_price,pnl_pct,mfe_pct,mae_pct,reason
2026-07-13T05:49:41.161447+09:00,2026-07-13T09:51:17.859087+09:00,XAUTUSDT,94.0,3.1,-0.2,4098.4,4067.66,0.53,0.83,-0.0,4h만기
2026-07-13T05:56:00.286055+09:00,2026-07-13T09:57:42.857035+09:00,STORJUSDT,95.5,12.1,0.0,0.077,0.075,2.38,4.42,-4.29,4h만기
2026-07-13T21:17:40.767498+09:00,2026-07-14T01:24:39.982256+09:00,MUBARAKUSDT,92.1,3.2,2.5,0.01332,0.01328,0.08,3.53,-1.5,4h만기
2026-07-14T09:34:57.449791+09:00,2026-07-14T13:41:14.130672+09:00,METISUSDT,94.9,131.2,-2.4,2.81,2.76,1.56,2.85,0.0,4h만기
2026-07-14T16:28:23.723515+09:00,2026-07-14T20:34:38.412411+09:00,FFUSDT,92.6,16.6,3.1,0.06298,0.06355,-1.13,0.4,-5.94,4h만기
2026-07-14T21:44:28.673645+09:00,2026-07-15T01:50:49.647263+09:00,GUSDT,92.9,4.9,3.2,0.00352,0.00361,-2.78,0.57,-2.56,4h만기
2026-07-15T22:07:45.794709+09:00,2026-07-16T05:50:00.568070+09:00,RSRUSDT,95.2,31.6,1.1,0.001266,0.001246,1.38,1.9,0.0,4h만기(PC재부팅으로 지연+수동/봇 이중청산 겹침 → 실체결 기준 통합정산)
2026-07-17T04:42:56.169378+09:00,2026-07-17T08:48:21.515589+09:00,JUVUSDT,92.2,3.6,9.5,0.361,0.332,7.81,8.31,0.0,4h만기
2026-07-18T11:52:04.345114+09:00,2026-07-18T19:52:29.114691+09:00,PAXGUSDT,97.6,3.2,0.8,4008.05,4013.26,-0.37,0.0,-0.15,8h만기
2026-07-20T17:37:49.101124+09:00,2026-07-21T01:38:51.802641+09:00,CTSIUSDT,96.2,8.0,6.8,0.02415,0.02332,3.2,4.68,0.0,8h만기
2026-07-22T03:54:18.278099+09:00,2026-07-22T11:57:49.392878+09:00,FILUSDT,94.0,10.8,7.1,0.78,0.772,0.79,1.92,0.0,8h만기
2026-07-23T01:09:57.678347+09:00,2026-07-23T09:03:13.690009+09:00,SHELLUSDT,94.2,285.3,1.4,0.0232,0.021,9.24,9.91,0.0,8h만기
2026-07-25T21:44:08.114146+09:00,2026-07-26T05:53:30.501701+09:00,ATMUSDT,93.2,34.1,13.7,1.896,1.874,0.92,4.54,-9.7,8h만기
2026-07-26T13:53:13.472503+09:00,2026-07-26T22:01:35.538617+09:00,FFUSDT,92.1,14.5,-0.3,0.06087,0.06055,0.29,0.74,-0.48,8h만기
2026-07-26T14:28:19.417989+09:00,2026-07-26T22:26:40.560850+09:00,EGLDUSDT,94.4,41.0,1.4,2.89,2.85,1.14,1.38,-0.69,8h만기
2026-07-27T01:57:23.165688+09:00,2026-07-27T09:58:41.203065+09:00,ETCUSDT,96.7,7.1,7.0,7.19,7.07,1.43,1.95,0.0,8h만기
2026-07-27T07:03:24.023731+09:00,2026-07-27T15:08:59.396063+09:00,PAXGUSDT,96.5,52.1,0.4,4089.0,4088.48,-0.23,0.24,-0.36,8h만기
2026-07-27T14:21:01.163379+09:00,2026-07-27T22:29:16.847887+09:00,FFUSDT,94.7,7.9,2.8,0.06312,0.0612,2.8,3.28,0.0,8h만기
2026-07-28T05:52:36.181839+09:00,2026-07-28T14:00:54.359503+09:00,ACHUSDT,94.7,19.4,3.1,0.00432,0.00445,-3.25,2.31,-3.24,8h만기
2026-07-28T19:18:31.959627+09:00,2026-07-29T03:18:16.404180+09:00,GPSUSDT,94.1,4.3,4.6,0.00955,0.00971,-1.92,1.88,-1.68,8h만기
2026-07-30T19:37:03.844239+09:00,2026-07-31T03:35:17.264063+09:00,GIGGLEUSDT,93.1,4.0,5.0,27.39,30.41,-11.27,3.5,-11.03,8h만기
2026-07-30T23:17:17.084167+09:00,2026-07-31T07:12:12.942872+09:00,VETUSDT,94.9,7.9,5.2,0.00482,0.004716,1.92,2.39,-0.52,8h만기
