exit_time,coin,entry,exit,pnl_pct,reason,held_min
2026-06-30 16:59:36,AHT,2.3420,2.2200,-5.21,SL-3.0%,1
2026-06-30 17:00:39,AHT,2.2200,1.6140,-27.30,SL-3.0%,1
2026-06-30 17:07:43,AHT,2.1590,2.2450,+3.98,TP+3.0%,1
2026-06-30 17:08:46,AHT,2.2450,2.3510,+4.72,TP+3.0%,1
2026-06-30 17:09:49,AHT,2.3510,2.0330,-13.53,SL-3.0%,1
2026-06-30 17:19:55,AHT,2.2250,2.3090,+3.78,TP+3.0%,4
2026-06-30 17:25:59,AHT,2.3780,2.1190,-10.89,SL-3.0%,2
2026-06-30 17:39:05,AHT,2.1680,2.2550,+4.01,TP+3.0%,9
2026-06-30 17:42:09,AHT,2.2710,2.1680,-4.54,SL-3.0%,2
2026-06-30 17:48:14,MOC,37.2500,35.2300,-5.42,SL-3.0%,3
2026-06-30 17:49:17,MOC,35.2300,36.3500,+3.18,TP+3.0%,1
2026-06-30 17:50:19,AHT,2.1290,2.1990,+3.29,TP+3.0%,5
2026-06-30 17:51:22,AHT,2.1990,2.3020,+4.68,TP+3.0%,1
2026-06-30 17:53:25,AHT,2.3020,2.6490,+15.07,TP+3.0%,2
2026-06-30 17:57:28,AHT,2.7210,2.8100,+3.27,TP+3.0%,3
2026-06-30 17:58:31,AHT,2.8100,2.9390,+4.59,TP+3.0%,1
2026-06-30 18:06:36,AHT,2.9390,2.6330,-10.41,SL-3.0%,8
2026-06-30 18:07:39,MOC,32.0700,30.3500,-5.36,SL-3.0%,1
2026-06-30 18:10:43,AHT,2.7680,2.9890,+7.98,TP+3.0%,3
2026-06-30 18:13:49,AHT,3.0200,3.1490,+4.27,TP+3.0%,1
2026-06-30 18:14:52,SC,1.1490,1.0770,-6.27,SL-3.0%,3
2026-06-30 18:15:53,AHT,3.1490,2.9000,-7.91,SL-3.0%,2
2026-06-30 18:20:57,AHT,3.0000,2.9000,-3.33,SL-3.0%,4
2026-06-30 18:24:02,AHT,2.7440,2.8280,+3.06,TP+3.0%,1
2026-06-30 18:24:03,TOKAMAK,698.0000,677.0000,-3.01,SL-3.0%,1
2026-06-30 18:26:08,AHT,2.8280,2.6800,-5.23,SL-3.0%,2
2026-06-30 18:26:09,TOKAMAK,729.0000,689.0000,-5.49,SL-3.0%,1
2026-06-30 18:28:11,MOC,30.5600,28.8200,-5.69,SL-3.0%,15
2026-06-30 18:39:17,AHT,2.8090,2.9290,+4.27,TP+3.0%,10
2026-07-02 22:25:29,HAEDAL,31.2500,29.6000,-5.28,SL-3.0%,4
2026-07-02 22:27:40,HAEDAL,29.6000,28.1700,-4.83,SL-3.0%,2
2026-07-02 22:32:57,HAEDAL,27.6600,26.6200,-3.76,SL-3.0%,3
2026-07-02 23:08:11,HAEDAL,26.6200,25.8200,-3.01,SL-3.0%,35
2026-07-03 18:00:36,ARPA,17.0200,17.7000,+4.00,TP+3.0%,7
2026-07-03 18:08:51,ARPA,16.9100,17.6300,+4.26,TP+3.0%,5
2026-07-03 18:12:57,ARPA,17.6300,16.9300,-3.97,SL-3.0%,4
2026-07-03 18:21:11,ARPA,17.5200,18.1600,+3.65,TP+3.0%,3
2026-07-03 18:25:17,ARPA,18.1600,17.4400,-3.96,SL-3.0%,4
2026-07-03 18:53:06,ARPA,16.5300,17.1500,+3.75,TP+3.0%,24
2026-07-04 09:06:50,BLAST,0.5347,0.5726,+7.09,TP+3.0%,2
2026-07-04 09:08:54,BLAST,0.5726,0.5528,-3.46,SL-3.0%,2
2026-07-04 09:13:02,BLAST,0.5325,0.5142,-3.44,SL-3.0%,1
2026-07-04 09:16:07,MED,2.6960,2.4470,-9.24,SL-3.0%,1
2026-07-04 09:17:09,BLAST,0.5039,0.5471,+8.57,TP+3.0%,2
2026-07-04 09:22:18,MED,2.4200,2.5150,+3.93,TP+3.0%,5
2026-07-04 09:23:20,BLAST,0.5370,0.5173,-3.67,SL-3.0%,2
2026-07-04 09:27:28,BLAST,0.5242,0.5476,+4.46,TP+3.0%,3
2026-07-04 09:28:30,BLAST,0.5476,0.5229,-4.51,SL-3.0%,1
2026-07-04 09:30:34,MED,2.5150,2.4290,-3.42,SL-3.0%,7
2026-07-04 09:37:46,MED,2.4010,2.4790,+3.25,TP+3.0%,4
2026-07-04 09:53:13,BLAST,0.5167,0.5010,-3.04,SL-3.0%,20
2026-07-04 10:09:41,MED,2.4880,2.4020,-3.46,SL-3.0%,24
2026-07-04 10:22:06,BLAST,0.5100,0.5302,+3.96,TP+3.0%,28
2026-07-04 20:14:29,OGN,27.8800,29.0100,+4.05,TP+3.0%,5
2026-07-04 20:22:44,OGN,30.0700,29.0800,-3.29,SL-3.0%,2
2026-07-04 20:26:52,OGN,29.1500,28.2500,-3.09,SL-3.0%,2
2026-07-04 20:42:21,OGN,28.5600,29.5100,+3.33,TP+3.0%,14
2026-07-04 20:47:30,OGN,29.5100,28.3300,-4.00,SL-3.0%,5
2026-07-04 21:01:56,OGN,28.3000,30.1700,+6.61,TP+3.0%,11
2026-07-04 21:23:35,OGN,33.2700,31.9700,-3.91,SL-3.0%,5
2026-07-04 21:27:42,OGN,31.9700,30.7400,-3.85,SL-3.0%,3
2026-07-05 21:59:50,SPURS,315.0000,290.0000,-7.94,SL-3.0%,13
2026-07-07 23:18:35,BOUNTY,26.4500,27.9500,+5.67,TP+3.0%,7
2026-07-07 23:19:35,BOUNTY,27.9500,26.9600,-3.54,SL-3.0%,1
2026-07-07 23:27:38,BOUNTY,26.5100,25.2400,-4.79,SL-3.0%,5
2026-07-07 23:35:40,BOUNTY,25.2400,24.3500,-3.53,SL-3.0%,8
2026-07-07 23:46:44,BOUNTY,24.3500,23.5200,-3.41,SL-3.0%,11
2026-07-09 05:15:40,LSK,146.0000,139.0000,-4.79,SL-3.0%,1
2026-07-09 07:48:33,LSK,128.0000,130.0000,+1.56,타임아웃120분,121
2026-07-09 07:49:34,MAV,17.0600,16.4600,-3.52,SL-3.0%,4
2026-07-09 07:54:35,MAV,16.4600,15.9300,-3.22,SL-3.0%,5
2026-07-09 08:10:41,MAV,15.9300,15.4400,-3.08,SL-3.0%,16
2026-07-10 10:56:33,QKC,3.1300,3.0350,-3.04,SL-3.0%,5
2026-07-10 12:31:07,QKC,3.0350,2.9320,-3.39,SL-3.0%,95
2026-07-11 02:31:23,FRAX,364.0000,375.0000,+3.02,TP+3.0%,108
2026-07-11 20:47:46,T,6.1300,6.3230,+3.15,TP+3.0%,13
2026-07-11 21:02:57,T,6.5990,6.2920,-4.65,SL-3.0%,7
2026-07-11 21:05:59,T,6.2650,5.9810,-4.53,SL-3.0%,2
2026-07-11 21:23:11,ANKR,6.1000,5.8900,-3.44,SL-3.0%,5
2026-07-11 21:31:17,ANKR,5.9000,5.7220,-3.02,SL-3.0%,7
2026-07-11 21:47:30,ANKR,6.3110,6.5550,+3.87,TP+3.0%,3
2026-07-11 21:51:33,ANKR,6.5550,6.3130,-3.69,SL-3.0%,4
2026-07-11 22:00:39,ANKR,6.3130,6.0760,-3.75,SL-3.0%,9
2026-07-12 09:53:01,ARDR,37.5300,36.3100,-3.25,SL-3.0%,6
2026-07-12 10:43:19,ARDR,37.5500,34.2300,-8.84,SL-3.0%,49
