entry_time,exit_time,symbol,range_pos,whale_size,whale_ratio,entry_price,exit_price,peak_price,pnl_pct,hold_min,reason
2026-07-07T09:46:40.601105+09:00,2026-07-07T10:05:01.888454+09:00,BLUR,0.12,4625730,47.3,32.73,31.7,33.42,-3.15,18,손절-3.0%
2026-07-07T10:17:31.906134+09:00,2026-07-07T12:35:22.075157+09:00,YFI,0.11,4320173,118.7,3.812e+06,3.88e+06,4.087e+06,+1.78,138,트레일(고점+7.2%)
2026-07-07T11:20:18.159936+09:00,2026-07-07T12:38:08.299744+09:00,BLUR,0.09,3331043,61.0,29.95,28.89,30.54,-3.54,78,손절-3.0%
2026-07-07T10:39:55.901420+09:00,2026-07-07T13:02:16.501268+09:00,CAP,0.23,6492416,14.9,31.7,32.46,34.17,+2.40,142,트레일(고점+7.8%)
2026-07-07T12:03:18.417133+09:00,2026-07-07T13:06:04.056793+09:00,SC,0.11,3958077,16.9,1.007,1.03,1.082,+2.28,63,트레일(고점+7.4%)
2026-07-07T10:12:27.420467+09:00,2026-07-07T13:12:35.540501+09:00,EDGEX,0.21,4111272,8.5,465,491,517,+5.59,180,트레일(고점+11.2%)
2026-07-07T13:16:01.298621+09:00,2026-07-07T13:39:25.807449+09:00,YFI,0.06,4653302,158.8,3.608e+06,3.497e+06,3.65e+06,-3.08,23,손절-3.0%
2026-07-07T09:46:40.539658+09:00,2026-07-07T13:44:55.803895+09:00,NEAR,0.20,17653612,68.8,3097,3001,3124,-3.10,238,손절-3.0%
2026-07-07T11:47:27.241978+09:00,2026-07-07T13:57:42.656228+09:00,BEL,0.20,3547106,35.5,180,174,182,-3.33,130,손절-3.0%
2026-07-07T09:46:40.558516+09:00,2026-07-07T13:58:23.764489+09:00,MPLX,0.14,3162667,62.1,51.4,49.59,51.6,-3.52,252,손절-3.0%
2026-07-07T09:46:40.622187+09:00,2026-07-07T14:03:13.189048+09:00,RPL,0.22,3462536,74.1,2721,2637,2777,-3.09,257,손절-3.0%
